,author_id,edit_history_tweet_ids,text,created_at,id,author_username
0,16404418,['1582346812513406976'],"Reports that Tory members are suggesting Stanley Baldwin as a suitable replacement for Liz Truss.
""OK, he's dead"" said an anonymous source, ""But that's just the calm, steady experience the Tory Party needs right now - let's face it, a decomposed corpse couldn't do a  worse job."" https://t.co/NwjoDLDnuq",2022-10-18T12:24:13.000Z,1582346812513406976,ChrisTheDJ
1,1575577952384851985,['1582346791680634881'],British Prime Minister Liz Truss apologizes for ‘mistakes’ in mini budget https://t.co/SRHKOuKQdE,2022-10-18T12:24:08.000Z,1582346791680634881,MoyeYor
2,234698050,['1582346755567677441'],"Pensions ""triple lock"" now officially in peril as Downing Street unable to guarantee it will be kept. 

Liz Truss on Oct 2: ""I’ve committed to the triple lock.""

But No 10 today: ""The PM and the Chancellor are not making any commitments on individual policy areas at this point.”",2022-10-18T12:23:59.000Z,1582346755567677441,jrmaidment
3,197561211,['1582346748772888576'],@ThatAlexWoman It's probably Liz Truss under a desk,2022-10-18T12:23:58.000Z,1582346748772888576,MartinJBuck
4,31105169,['1582346746247553026'],"Liz Truss poised to drop pledge to increase defence spending, No 10 suggests https://t.co/mFtYaV4SQX",2022-10-18T12:23:57.000Z,1582346746247553026,IndyPolitics
5,558030965,['1582346738983051264'],"@prior_robin @nickfshort @BBC @BBCiPlayer Liz Truss, I think... 😳",2022-10-18T12:23:55.000Z,1582346738983051264,BernardLewis8
6,1559836782,['1582346728216272897'],"Energy prices, doubled. mortgages doubled &amp; shopping up by 20%&gt; while wages stagnate. Tell me how do we ""grow the pie"" like Liz Truss suggests? 

70%&gt; of the UK have seen ALL thier disposable income wiped out &amp; were supposed to just accept this &amp; move on. #GeneralElectionNow https://t.co/gGOsg4QxeC",2022-10-18T12:23:53.000Z,1582346728216272897,Shropshire_Dad
7,368032559,['1582346689964552192'],1 in 6 Tory supporters still think Liz Truss is doing well! Some people are just immovable in politics whatever the situation https://t.co/701GBXzDyT,2022-10-18T12:23:44.000Z,1582346689964552192,cpeedell
8,337281526,['1582346686697205761'],@SkyNews @LOU15E_97 They what? That should read the Tory party wants Liz truss to resign immediately and want to replace her with the Labour Party,2022-10-18T12:23:43.000Z,1582346686697205761,SpectrumAudioRJ
9,939317322,['1582346661543968768'],@eddwilson After the Age of Austerity what is left to cut? Infrastructure spending - bad for growth or public sector pay. Liz Truss's Budget was bonkers but the need for improving the UK's growth and productivity record wasnot but another round of Austerity merely digs the hole deeper.,2022-10-18T12:23:37.000Z,1582346661543968768,richard_of_yore
10,4603671503,['1582346621706457090'],'Liz Truss is no longer Prime Minister - Jeremy Hunt has taken over and ... https://t.co/rg4CzTrFo9 via @YouTube,2022-10-18T12:23:27.000Z,1582346621706457090,jupiterblack201
